amfi_code,scheme_name,cagr_3yr_pct,sharpe_ratio,alpha,beta,expense_ratio_pct,max_drawdown,cagr_score,sharpe_score,alpha_score,expense_score,drawdown_score,score
120844,Kotak Liquid Fund - Regular - Growth,6.6896622224567714,0.30425182333434503,0.06455677495375998,-0.0004007442394784006,0.6,-0.0011629327956168556,27.500000000000004,32.5,22.5,95.0,97.5,44.875
149322,DSP Top 100 Equity Fund - Regular - Growth,18.026340835702314,0.4780917280523979,0.13173190226099432,-0.004050271130006511,1.54,-0.14844576917771746,50.0,40.0,42.5,26.25,62.5,43.6875
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,11.234406744015214,0.3116040974052224,0.11989100971217971,0.009054412621739139,0.78,-0.21117279560132118,37.5,35.0,37.5,77.5,30.0,42.125
120841,Kotak Bluechip Fund - Regular - Growth,17.25023345537946,0.5092559163430057,0.13042924450705445,0.0363563990221998,1.59,-0.1757361416468729,47.5,42.5,40.0,15.0,42.5,39.375
118634,Nippon India Small Cap Fund - Regular - Growth,8.00033645293501,0.4564261243061779,0.1750072167561127,0.10349663691337589,1.53,-0.2334488614483311,35.0,37.5,57.49999999999999,31.25,22.5,38.3125
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,5.834877479439982,-0.17572336328229407,0.05620895216638369,-0.006413850728276476,0.77,-0.04328728923970093,22.5,15.0,17.5,80.0,90.0,35.0
118636,Nippon India Gilt Securities Fund - Regular - Growth,4.058424419537321,-0.30601321923949243,0.05074772999976104,0.0012566742731558475,0.55,-0.08316361763638702,20.0,7.5,15.0,100.0,87.5,34.625
101208,ABSL Liquid Fund - Regular - Growth,6.309843818780125,-0.41722938246152685,0.060861457957871144,0.00026670968338238335,0.79,-0.0016224980244717857,25.0,5.0,20.0,75.0,95.0,33.5
100025,HDFC Short Term Debt Fund - Regular - Growth,3.912747595303223,-0.5154378235861931,0.042817920315060876,0.0011582183155281417,0.56,-0.04308263824636349,17.5,2.5,7.5,97.5,92.5,31.25
120842,Kotak Emerging Equity Fund - Regular - Growth,7.748659555611881,0.08727318479040216,0.0780443887615508,0.018056874208118162,1.56,-0.24003511326274884,32.5,25.0,30.0,20.0,20.0,27.0
119599,SBI Small Cap Fund - Direct Plan - Growth,-1.3361745600875774,-0.04910116945430198,0.048824215945539845,0.06200180438267164,0.72,-0.5257422117012851,7.5,20.0,12.5,88.75,2.5,23.3125
119092,Axis Bluechip Fund - Regular - Growth,0.5254060386508996,0.045245322990343645,0.0689952982167755,0.009730745001153627,1.64,-0.1440161790933726,12.5,22.5,27.500000000000004,3.75,65.0,21.9375
101207,ABSL Small Cap Fund - Regular - Growth,-4.148672076178961,0.170480695188316,0.10897091901704538,-0.06528924788351526,1.53,-0.3544691649336603,5.0,30.0,35.0,31.25,7.5,21.4375
119095,Axis Small Cap Fund - Regular - Growth,-11.695776720110418,-0.06792567846937411,0.04801595363775955,-0.06695117463929198,1.38,-0.5167775370852656,2.5,17.5,10.0,60.0,5.0,16.625
100016,HDFC Top 100 Fund - Regular Plan - Growth,1.2914623345912757,-0.18765046878624003,0.03747580763443281,-0.05826843143880891,1.55,-0.24734440880673303,15.0,12.5,5.0,22.5,17.5,13.75
102886,UTI Mid Cap Fund - Regular - Growth,-0.7667088207006012,-0.19470738058320314,0.02896939786637944,-0.04212502902189429,1.51,-0.2800112356639287,10.0,10.0,2.5,41.25,15.0,13.6875
